AccountID,FullName,Industry,AnnualRevenue,Debt,Liabilities,Equity,CreditScore,RiskTier,YearsAsClient,MonthsSinceContact,ProductsHeld
A200000,Stonebridge Manufacturing,Manufacturing,4636458.43,1388180.74,2152226.24,2998820.88,593,High Risk,9,7,1
A200001,Blue Harbor Capital,Hospitality,492065.39,474636.6,590578.94,194456.54,652,Medium Risk,8,18,7
A200002,Pioneer Materials,Healthcare,1476327.02,675945.7,781272.01,560236.01,712,Medium Risk,23,13,3
A200003,Redwood Systems,Hospitality,1030205.06,815899.04,1001714.3,590407.38,804,Low Risk,1,3,3
A200004,Granite Enterprises,Logistics,1449160.12,1319231.05,1522744.52,824062.14,561,High Risk,22,14,1
A200005,Redwood Solutions,Hospitality,570817.57,361332.95,487706.17,248433.17,623,Medium Risk,8,10,4
A200006,Granite Systems,Energy,1225843.7,713834.14,902127.2,354146.28,588,High Risk,23,4,5
A200007,Crestline Manufacturing,Agriculture,801051.31,681293.47,777649.44,344164.13,569,High Risk,14,7,5
A200008,Atlas Systems,Manufacturing,313411.9,71794.86,109793.15,121975.73,605,Medium Risk,8,9,8
A200009,Vanguard Holdings,Construction,1213935.03,605985.86,623605.31,661856.14,788,Low Risk,15,24,4
A200010,Meridian Systems,Energy,2493821.78,988328.26,1421277.57,1547542.26,568,High Risk,17,0,8
A200011,Crestline Capital,Finance,1296368.13,609849.82,895491.82,990858.83,648,Medium Risk,18,25,2
A200012,Vanguard Group,Agriculture,1128144.52,1222212.33,1435624.34,719771.66,691,Medium Risk,22,2,3
A200013,Atlas Foods,Agriculture,1711972.31,909883.25,1001885.34,1141560.06,659,Medium Risk,12,17,7
A200014,Summit Logistics,Hospitality,2505549.0,1860781.72,2263768.57,875226.82,738,Low Risk,3,17,7
A200015,Silverpeak Partners,Logistics,440555.05,611332.05,911751.57,271236.36,532,High Risk,24,25,4
A200016,Ironclad Enterprises,Construction,2272437.48,483215.07,609221.37,537174.27,593,High Risk,16,18,8
A200017,Blue Harbor Capital,Hospitality,610865.94,615661.15,880566.45,314908.19,702,Medium Risk,7,7,5
A200018,Granite Capital,Retail,4965088.78,3378997.92,4612372.05,3782609.56,619,Medium Risk,6,2,1
A200019,Atlas Industries,Finance,2960370.1,326079.63,346117.82,801354.87,783,Low Risk,10,11,4
A200020,Summit Holdings,Technology,1284691.12,1657978.23,2164015.6,870917.5,651,Medium Risk,11,0,2
A200021,Vanguard Materials,Healthcare,1847962.07,628306.44,866257.0,549806.11,585,High Risk,14,22,4
A200022,Pioneer Systems,Manufacturing,2280377.4,1322185.24,1544565.85,538022.0,666,Medium Risk,23,10,7
A200023,Cobalt Enterprises,Technology,3188070.21,3797202.3,4027765.58,2193058.03,764,Low Risk,2,18,5
A200024,Blue Harbor Holdings,Construction,1497827.61,825706.0,1202927.6,1063942.06,510,High Risk,4,16,7
A200025,Pioneer Systems,Hospitality,1391102.71,1073496.16,1128309.78,806224.58,813,Low Risk,6,11,7
A200026,Summit Group,Healthcare,1834079.71,303321.56,445449.01,568831.94,530,High Risk,5,22,8
A200027,Ironclad Capital,Manufacturing,284087.51,470601.09,645611.67,190920.03,555,High Risk,12,0,4
A200028,Apex Capital,,2922637.45,1933643.39,2601627.26,2106373.21,628,Medium Risk,19,24,4
A200029,Apex Capital,Retail,2417796.47,1388390.21,1559682.96,1646348.34,805,Low Risk,17,18,3
A200030,Ironclad Capital,Construction,787298.09,139864.51,166584.16,465286.41,665,Medium Risk,19,16,2
A200031,Apex Foods,Logistics,5009081.48,7540008.82,8893917.33,3910850.29,600,Medium Risk,10,12,2
A200032,Evergreen Enterprises,Healthcare,2966518.81,2347832.29,3232389.48,1244078.74,713,Medium Risk,5,0,5
A200033,Beacon Logistics,Energy,3898127.37,1719128.09,2219903.21,1036196.24,661,Medium Risk,17,6,1
A200034,Frontier Logistics,Agriculture,4320000.06,1232769.08,1544265.24,1868878.47,587,High Risk,3,25,3
A200035,Cardinal Group,Construction,1628962.52,1853819.53,2495807.47,1219100.86,761,Low Risk,8,16,7
A200036,Blue Harbor Foods,Agriculture,1457073.81,1120653.91,1681980.22,1147753.28,775,Low Risk,10,19,1
A200037,Stonebridge Holdings,Construction,4785289.15,2825644.68,2926909.09,1152269.84,604,Medium Risk,17,5,5
A200038,Vanguard Freight,Technology,899430.31,443090.5,636765.61,219902.05,758,Low Risk,2,7,3
A200039,Meridian Enterprises,Agriculture,2086382.17,423849.71,501029.63,1113507.95,782,Low Risk,13,22,7
A200040,Silverpeak Materials,Hospitality,1365568.77,280058.29,318004.44,476944.86,761,Low Risk,3,10,4
A200041,Blue Harbor Materials,Logistics,326642.85,159992.08,209000.79,247745.46,639,Medium Risk,22,15,6
A200042,Stonebridge Foods,Technology,6372204.78,3822790.96,4235483.32,3564480.13,561,High Risk,6,11,8
A200043,Blue Harbor Holdings,Retail,1296967.61,258772.08,367790.52,744745.3,547,High Risk,15,6,2
A200044,Ironclad Foods,Retail,1880627.75,505332.1,599849.64,853233.89,538,High Risk,7,25,6
A200045,Granite Solutions,Energy,,426605.25,506357.45,545129.01,597,High Risk,12,3,7
A200046,Meridian Systems,Healthcare,3424776.84,2010024.06,3174929.63,974857.2,674,Medium Risk,4,22,6
A200047,Lakeshore Logistics,Logistics,205255.61,88061.97,104390.93,62167.94,520,High Risk,2,17,4
A200048,Pioneer Capital,Retail,4102389.01,3654524.31,3911119.51,2552265.22,684,Medium Risk,21,3,8
A200049,Vanguard Materials,Agriculture,1387332.5,557089.59,582807.38,953581.3,568,High Risk,18,25,7
A200050,Stonebridge Freight,Manufacturing,1559737.56,1105537.99,1587522.22,909814.76,561,High Risk,19,6,5
A200051,Granite Partners,Energy,858869.11,82671.32,93583.41,193299.05,762,Low Risk,15,6,4
A200052,Crestline Group,Energy,4401937.89,1603800.79,1989455.67,2848742.42,651,Medium Risk,21,6,1
A200053,Crestline Group,Retail,1276340.1,974774.38,1443639.79,578677.51,707,Medium Risk,18,22,3
A200054,Vanguard Foods,Logistics,7126241.74,1585087.45,2384075.75,2716023.88,676,Medium Risk,23,12,3
A200055,Pioneer Industries,Technology,1198078.35,162678.54,184217.18,239620.36,593,High Risk,18,16,6
A200056,Cobalt Group,Manufacturing,3894062.81,2647766.61,3338507.66,1078889.72,664,Medium Risk,1,22,5
A200057,Ironclad Manufacturing,Retail,2782121.79,1367941.08,1995995.9,642792.38,635,Medium Risk,20,16,8
A200058,Silverpeak Enterprises,Retail,350952.83,281903.1,353006.26,197761.73,547,High Risk,2,22,8
A200059,Summit Materials,Construction,673030.83,424599.9,618838.2,297210.7,609,Medium Risk,5,21,8
A200060,Northwind Materials,Construction,2243699.62,1417735.31,1881254.9,900902.59,752,Low Risk,17,22,2
A200061,Crestline Trading,Hospitality,11294545.72,2909004.08,4349921.44,5838530.5,626,Medium Risk,21,10,3
A200062,Northwind Foods,Manufacturing,371573.56,298093.59,371608.96,171068.05,569,High Risk,21,10,3
A200063,Cobalt Manufacturing,Finance,1216248.81,1172714.48,1579176.56,584037.37,612,Medium Risk,22,3,6
A200064,Beacon Freight,Technology,210169.89,50326.04,77594.76,96503.15,716,Medium Risk,22,17,7
A200065,Crestline Solutions,Logistics,1497819.49,309923.9,373174.6,825633.91,561,High Risk,22,4,1
A200066,Beacon Group,Healthcare,,792758.49,1118179.45,430681.23,785,Low Risk,23,21,1
A200067,Stonebridge Industries,Logistics,13750145.59,23332201.6,27325735.61,10982267.06,807,Low Risk,15,25,7
A200068,Vanguard Enterprises,Energy,331098.29,350708.12,450086.54,141753.5,742,Low Risk,14,20,4
A200069,Granite Materials,Healthcare,1945057.56,2202797.8,2706825.19,1015428.62,670,Medium Risk,22,18,3
A200070,Stonebridge Group,Finance,6736981.78,3598744.1,3969463.73,4680715.43,682,Medium Risk,22,8,6
A200071,Silverpeak Systems,Manufacturing,5842800.91,2336056.01,3452750.78,1610606.41,589,High Risk,1,25,1
A200072,Ironclad Foods,Manufacturing,405447.24,293506.89,444399.94,153754.3,620,Medium Risk,12,13,6
A200073,Vanguard Enterprises,Logistics,8975998.58,7894860.75,9313028.05,3791321.58,522,High Risk,18,9,5
A200074,Meridian Partners,Hospitality,8998264.29,5525549.7,7954589.93,4128541.02,772,Low Risk,2,16,8
A200075,Apex Group,Technology,1515534.26,396504.0,561876.53,812801.0,708,Medium Risk,6,15,2
A200076,Meridian Materials,Finance,3233548.71,4849787.06,6980240.04,2574174.77,576,High Risk,9,9,1
A200077,Frontier Systems,Construction,2817253.57,1128775.97,1719384.53,1389754.34,755,Low Risk,10,19,1
A200078,Vanguard Materials,Healthcare,3246151.86,3323068.08,4218846.61,1526320.23,806,Low Risk,19,13,7
A200079,Lakeshore Manufacturing,Hospitality,1012188.94,1122493.79,1529829.12,717800.89,526,High Risk,4,1,2
A200080,Pioneer Group,Finance,1753733.62,683060.54,701801.51,1157363.76,744,Low Risk,11,17,6
A200081,Silverpeak Partners,,1013496.18,892109.71,1126993.98,443842.63,665,Medium Risk,1,10,6
A200082,Stonebridge Foods,Finance,3121186.06,2191345.19,2912933.75,2361799.32,714,Medium Risk,6,21,1
A200083,Cardinal Materials,Healthcare,203266.73,124119.89,131979.01,72788.58,693,Medium Risk,11,17,1
A200084,Atlas Group,Energy,1693288.22,455442.78,488796.52,1283384.84,659,Medium Risk,5,0,6
A200085,Blue Harbor Freight,Logistics,246120.25,165531.24,219121.35,158131.02,541,High Risk,1,8,3
A200086,Summit Group,Healthcare,902448.44,1365119.5,1596217.9,569236.86,546,High Risk,19,3,1
A200087,Apex Freight,Hospitality,259208.58,420904.41,575022.99,180172.73,720,Low Risk,19,1,6
A200088,Granite Manufacturing,Construction,8719977.55,3833284.6,4851908.47,4343406.17,752,Low Risk,20,22,3
A200089,Redwood Freight,,381348.05,140440.56,193827.96,138719.23,760,Low Risk,7,2,7
A200090,Silverpeak Solutions,Construction,2138582.38,703636.65,978396.39,1142450.52,676,Medium Risk,1,9,2
A200091,Summit Logistics,Logistics,351450.04,101116.3,116266.65,267359.74,591,High Risk,1,8,3
A200092,Atlas Systems,Hospitality,1225015.84,1454400.3,1681423.78,820268.47,677,Medium Risk,10,5,6
A200093,Crestline Logistics,Healthcare,1602242.39,249303.32,387548.41,384106.8,718,Medium Risk,17,18,4
A200094,Silverpeak Enterprises,Technology,270105.19,195748.23,264068.4,115540.31,637,Medium Risk,6,18,8
A200095,Lakeshore Group,Logistics,1828290.36,272191.82,377557.55,506600.83,526,High Risk,13,19,7
